Sample_ID	percent_assembly
lane122s000720	99.97
lane122s000542	99.97
lane121s003979	99.17
lane121s003968	99.90
lane122s000522	99.93
lane122s000515	99.98
lane122s000531	99.88
lane122s000545	99.98
lane122s000607	25.94
lane121s003996	99.71
lane121s003955	99.94
lane122s000532	99.96
lane821s003038	99.89
lane121s003977	99.56
lane122s000535	99.95
lane122s000540	99.16
lane121s003954	99.58
lane122s000539	99.89
lane122s000520	99.89
lane122s000528	99.98
lane821s003040	99.76
lane121s003995	99.77
lane121s003972	99.68
lane121s003971	99.92
lane122s000530	99.95
lane122s000600	18.24
lane821s003037	99.94
lane121s003964	99.90
lane122s000544	99.97
lane121s003984	99.96
lane821s003041	99.96
lane821s003036	99.99
lane122s000529	99.49
lane122s000527	99.96
lane122s000538	99.95
lane121s003963	99.98
lane121s003965	99.95
lane122s000599	10.95
lane122s000525	99.98
lane122s000517	99.95
lane122s000602	43.98
lane121s003962	96.56
lane121s003960	99.92
lane121s003986	99.97
lane122s000604	17.42
lane122s000533	99.95
lane122s000541	99.84
lane122s000519	99.93
lane122s000536	99.83
lane122s000521	99.93
lane821s003042	99.98
lane122s000516	99.94
lane122s000534	99.99
lane122s000537	99.95
lane821s003035	99.98
lane821s003043	99.97
lane122s000605	34.96
lane121s003976	99.89
lane121s003951	99.95
lane122s000721	96.39
lane121s003980	99.94
lane121s003953	99.96
lane122s000543	99.98
lane121s003978	99.96
lane122s000518	99.88
lane122s000603	10.91
lane122s000606	26.61
lane122s000524	99.96
lane122s000601	24.09
lane821s003044	99.93
lane122s000523	99.86
lane121s003958	99.94
lane121s003952	99.96